Language,count
Amharic,0
Arabic,1
Basque,0
Bengali,0
Bulgarian,0
Catalan,0
Croatian,0
Czech,0
Danish,0
Dutch,0
English,8
Estonian,0
Finnish,0
French,2
German,10
Greek,0
Gujarati,0
Hebrew,0
Hindi,2
Hungarian,0
Icelandic,0
Indonesian,0
Italian,0
Japanese,0
Kannada,0
Korean,2
Latvian,0
Lithuanian,0
Malay,0
Malayalam,0
Marathi,1
Norwegian,0
Polish,0
Romanian,0
Russian,0
Serbian,0
Chinese (PRC),0
Slovak,0
Slovenian,0
Spanish,0
Swahili,0
Swedish,0
Tamil,0
Telugu,0
Thai,0
Chinese (Taiwan),0
Turkish,2
Urdu,0
Ukrainian,0
Vietnamese,0
Welsh,0
