Language,Code,tess_codes
Amharic,am,amh
Arabic,ar,ara
Basque,eu,eus
Bengali,bn,ben
Bulgarian,bg,bul
Catalan,ca,cat
Croatian,hr,
Czech,cs,ces
Danish,da,dan
Dutch,nl,
English,en,eng
Estonian,et,est
Finnish,fi,fin
French,fr,fra
German,de,deu
Greek,el,ell
Gujarati,gu,guj
Hebrew,iw,heb
Hindi,hi,hin
Hungarian,hu,hun
Icelandic,is,isl
Indonesian,id,ind
Italian,it,ita
Japanese,ja,jpn
Kannada,kn,kan
Korean,ko,kor
Latvian,lv,lav
Lithuanian,lt,lit
Malay,ms,msa
Malayalam,ml,mal
Marathi,mr,mar
Norwegian,no,nor
Polish,pl,pol
Romanian,ro,ron
Russian,ru,rus
Serbian,sr,srp
Chinese (PRC),zh-CN,
Slovak,sk,slk
Slovenian,sl,slv
Spanish,es,spa
Swahili,sw,swa
Swedish,sv,swe
Tamil,ta,tam
Telugu,te,tel
Thai,th,tha
Chinese (Taiwan),zh-TW,
Turkish,tr,tur
Urdu,ur,urd
Ukrainian,uk,ukr
Vietnamese,vi,vie
Welsh,cy,
